id;start_date;end_date;language
1;2020-02-17T12:30:00;2020-02-17T10:20:15;SPANISH
2;2020-02-16T17:20:11;2020-02-17T12:24:36;SPANISH
3;2020-02-17T08:15:30;2020-02-16T18:49:39;FRENCH
4;2020-02-16T23:33:01;2020-02-17T11:04:27;FRENCH
5;2020-02-17T09:03:19;2020-02-17T13:50:18;FRENCH
6;2020-02-17T02:55:40;2020-02-17T15:03:54;FRENCH
7;2020-02-17T04:41:00;2020-02-16T22:31:51;FRENCH
8;2020-02-17T03:37:13;2020-02-17T13:53:21;SPANISH
9;2020-02-17T02:18:22;2020-02-16T22:59:45;SPANISH
10;2020-02-17T10:30:26;2020-02-16T21:04:56;SPANISH
